P(psi),Z-factor(-),viscosity(cp)
14.7,1,0.013111543
31.37324415,0.997737012,0.013119712
48.04648829,0.996546162,0.013128069
64.71973244,0.995363554,0.013136616
81.39297659,0.994189226,0.013145355
98.06622074,0.993023212,0.013154286
114.7394649,0.991865549,0.01316341
131.412709,0.99071627,0.013172728
148.0859532,0.989575412,0.013182243
164.7591973,0.988443007,0.013191954
181.4324415,0.987319089,0.013201863
198.1056856,0.986203693,0.013211972
214.7789298,0.98509685,0.01322228
231.4521739,0.983998594,0.013232791
248.1254181,0.982908957,0.013243504
264.7986622,0.98182797,0.013254421
281.4719064,0.980755666,0.013265543
298.1451505,0.979692073,0.013276871
314.8183946,0.978637224,0.013288407
331.4916388,0.977591148,0.013300151
348.1648829,0.976553874,0.013312105
364.8381271,0.975525431,0.01332427
381.5113712,0.974505848,0.013336648
398.1846154,0.973495153,0.013349238
414.8578595,0.972493373,0.013362043
431.5311037,0.971500535,0.013375064
448.2043478,0.970516665,0.013388301
464.877592,0.969541789,0.013401757
481.5508361,0.968575932,0.013415431
498.2240803,0.96761912,0.013429326
514.8973244,0.966671375,0.013443442
531.5705686,0.965732722,0.013457781
548.2438127,0.964803184,0.013472344
564.9170569,0.963882782,0.013487132
581.590301,0.962971539,0.013502145
598.2635452,0.962069476,0.013517386
614.9367893,0.961176614,0.013532855
631.6100334,0.960292971,0.013548553
648.2832776,0.959418568,0.013564482
664.9565217,0.958553423,0.013580642
681.6297659,0.957697554,0.013597034
698.30301,0.956850979,0.013613661
714.9762542,0.956013713,0.013630521
731.6494983,0.955185774,0.013647618
748.3227425,0.954367175,0.013664951
764.9959866,0.953557933,0.013682522
781.6692308,0.952758061,0.013700332
798.3424749,0.951967572,0.013718381
815.0157191,0.951186479,0.013736671
831.6889632,0.950414793,0.013755202
848.3622074,0.949652526,0.013773976
865.0354515,0.948899689,0.013792993
881.7086957,0.948156291,0.013812254
898.3819398,0.947422341,0.013831761
915.0551839,0.946697848,0.013851513
931.7284281,0.945982818,0.013871513
948.4016722,0.94527726,0.01389176
965.0749164,0.944581179,0.013912255
981.7481605,0.943894581,0.013933
998.4214047,0.94321747,0.013953994
1015.094649,0.942549851,0.013975239
1031.767893,0.941891726,0.013996736
1048.441137,0.941243098,0.014018484
1065.114381,0.94060397,0.014040485
1081.787625,0.939974341,0.01406274
1098.46087,0.939354213,0.014085248
1115.134114,0.938743584,0.014108011
1131.807358,0.938142454,0.014131029
1148.480602,0.937550821,0.014154303
1165.153846,0.936968682,0.014177832
1181.82709,0.936396034,0.014201618
1198.500334,0.935832872,0.014225661
1215.173579,0.935279193,0.014249962
1231.846823,0.934734989,0.01427452
1248.520067,0.934200256,0.014299336
1265.193311,0.933674985,0.014324411
1281.866555,0.933159169,0.014349745
1298.539799,0.932652801,0.014375337
1315.213043,0.932155869,0.014401189
1331.886288,0.931668366,0.0144273
1348.559532,0.931190279,0.014453671
1365.232776,0.930721598,0.014480302
1381.90602,0.93026231,0.014507192
1398.579264,0.929812403,0.014534343
1415.252508,0.929371864,0.014561753
1431.925753,0.928940678,0.014589424
1448.598997,0.928518831,0.014617354
1465.272241,0.928106307,0.014645545
1481.945485,0.927703089,0.014673995
1498.618729,0.927309162,0.014702705
1515.291973,0.926924507,0.014731675
1531.965217,0.926549107,0.014760904
1548.638462,0.926182942,0.014790392
1565.311706,0.925825994,0.014820139
1581.98495,0.925478242,0.014850145
1598.658194,0.925139665,0.014880409
1615.331438,0.924810243,0.014910931
1632.004682,0.924489952,0.01494171
1648.677926,0.924178772,0.014972747
1665.351171,0.923876678,0.01500404
1682.024415,0.923583646,0.01503559
1698.697659,0.923299654,0.015067395
1715.370903,0.923024675,0.015099455
1732.044147,0.922758684,0.01513177
1748.717391,0.922501655,0.015164339
1765.390635,0.922253562,0.015197161
1782.06388,0.922014377,0.015230235
1798.737124,0.921784073,0.015263561
1815.410368,0.921562622,0.015297138
1832.083612,0.921349995,0.015330965
1848.756856,0.921146163,0.015365042
1865.4301,0.920951096,0.015399367
1882.103344,0.920764763,0.01543394
1898.776589,0.920587136,0.015468759
1915.449833,0.920418181,0.015503824
1932.123077,0.920257868,0.015539134
1948.796321,0.920106165,0.015574688
1965.469565,0.919963039,0.015610484
1982.142809,0.919828458,0.015646522
1998.816054,0.919702387,0.0156828
2015.489298,0.919584794,0.015719318
2032.162542,0.919475644,0.015756073
2048.835786,0.919374903,0.015793066
2065.50903,0.919282535,0.015830294
2082.182274,0.919198506,0.015867757
2098.855518,0.919122781,0.015905453
2115.528763,0.919055322,0.01594338
2132.202007,0.918996094,0.015981538
2148.875251,0.91894506,0.016019925
2165.548495,0.918902184,0.01605854
2182.221739,0.918867427,0.016097381
2198.894983,0.918840753,0.016136447
2215.568227,0.918822123,0.016175737
2232.241472,0.9188115,0.016215248
2248.914716,0.918808844,0.016254979
2265.58796,0.918814118,0.016294929
2282.261204,0.918827283,0.016335096
2298.934448,0.918848299,0.016375479
2315.607692,0.918877127,0.016416076
2332.280936,0.918913727,0.016456885
2348.954181,0.918958059,0.016497905
2365.627425,0.919010085,0.016539134
2382.300669,0.919069762,0.01658057
2398.973913,0.919137051,0.016622212
2415.647157,0.919211912,0.016664057
2432.320401,0.919294304,0.016706105
2448.993645,0.919384185,0.016748353
2465.66689,0.919481514,0.016790799
2482.340134,0.919586251,0.016833442
2499.013378,0.919698355,0.01687628
2515.686622,0.919817783,0.016919311
2532.359866,0.919944494,0.016962534
2549.03311,0.920078447,0.017005945
2565.706355,0.9202196,0.017049544
2582.379599,0.92036791,0.017093329
2599.052843,0.920523337,0.017137297
2615.726087,0.920685838,0.017181447
2632.399331,0.920855371,0.017225777
2649.072575,0.921031893,0.017270284
2665.745819,0.921215364,0.017314968
2682.419064,0.921405739,0.017359825
2699.092308,0.921602979,0.017404855
2715.765552,0.921807039,0.017450054
2732.438796,0.922017878,0.017495422
2749.11204,0.922235453,0.017540955
2765.785284,0.922459723,0.017586653
2782.458528,0.922690645,0.017632512
2799.131773,0.922928176,0.017678532
2815.805017,0.923172274,0.01772471
2832.478261,0.923422898,0.017771044
2849.151505,0.923680004,0.017817531
2865.824749,0.923943552,0.017864171
2882.497993,0.924213497,0.01791096
2899.171237,0.9244898,0.017957898
2915.844482,0.924772416,0.018004981
2932.517726,0.925061305,0.018052208
2949.19097,0.925356425,0.018099577
2965.864214,0.925657733,0.018147086
2982.537458,0.925965188,0.018194733
2999.210702,0.926278749,0.018242515
3015.883946,0.926598373,0.01829043
3032.557191,0.926924019,0.018338478
3049.230435,0.927255645,0.018386655
3065.903679,0.927593211,0.01843496
