Time(day),Surface Gas Rate(ft3/day),Reservoir Gas Rate(ft3/day)
1.00E-06,22695832,72906.51563
3.50E-06,22410306,72555.84375
1.10E-05,21908320,71935
3.35E-05,21156130,70993.59375
0.000101,20105774,69653.90625
0.0003035,18810744,67954.29688
0.00080975,17462544,66115.02344
0.002075375,15879314,63837.01172
0.004152655,14344095,61467.23828
0.007846961,12715739,58722.12109
0.014969693,10981248,55446.14453
0.028425034,9300465,51805.12109
0.051977944,7903797.5,48314.68359
0.094318815,6877888,45403.88672
0.192780003,6122641.5,43028.41406
0.438932955,5420937.5,40608.56641
0.881041646,4675192,37766.67969
1,4448885.5,36840.125
1.653825045,3837865.5,34162.94922
2.802707434,3162106.75,30845.19922
4.827524662,2537015,27343.69727
8.606881142,1993591.375,23842.94141
10,1793292.5,22412.87891
16.06218338,1498813.5,20136.15234
20,1324487.5,18670.75781
31,1108907.5,16708.43359
41,956565.6875,15199.61523
51,853749.375,14111.9082
60,782679.25,13322.00488
71.17250824,720366.5625,12600.55078
74,695179.0625,12300.57422
91,641903.875,11648.86523
105,594859,11052.34961
121,555129.125,10531.75195
148.9312744,507604.8125,9886.774414
152,491790.0625,9666.34668
182,460044.625,9214.466797
213,426585.5938,8723.663086
244,399170.8125,8309.484375
274,377199.1875,7969.107422
305,358511.4063,7673.305176
335,342752.0938,7419.100098
366,328883.0313,7191.603516
397,316623.3438,6987.423828
425,306441.2188,6815.559082
456,296905.4375,6652.653809
486,288292.0313,6503.832031
517,280345.4688,6365.080078
547,273201.1563,6239.111328
578,266549.9375,6120.767578
609,260379.3906,6010.031738
639,254794.1406,5908.99707
670,249532.2813,5813.099121
700,244702.3594,5724.452637
731,240117.0938,5639.73584
762,235788.6406,5559.253906
790,231988.1563,5488.17334
821,228234.5313,5417.581055
851,224690.3281,5350.568848
882,221276.9531,5285.695801
912,218090.3125,5224.831055
943,215015.5,5165.824219
974,212070.0313,5109.039063
1004,209324.8438,5055.883301
1035,206665.4531,5004.172852
1065,204163.8594,4955.333984
1096,201731.4531,4907.661621
1127,199385.0156,4861.5
1155,197285.1875,4820.043457
1186,195168.9531,4778.121094
1216,193137.5625,4737.745117
1247,191147.25,4698.056152
