FILE:,CMG_Desorption50mdft.irf,,
Well:,Well-1,,
,,,
,,,Y1
,TIME,DATE,Gas Rate SC
,(day),,(ft3/day)
,1.00E-06,36526,21546454
,3.50E-06,36526,21464964
,1.10E-05,36526,21281806
,3.35E-05,36526,20876982
,0.000101,36526,20140662
,0.0003035,36526,19053986
,0.00080975,36526,17791196
,0.002075375,36526,16406575
,0.005013159,36526,15001352
,0.01132644,36526,13633542
,0.024445727,36526,12282229
,0.050645728,36526,10929025
,0.100685671,36526,9577602
,0.193235904,36526,8246324
,0.347486317,36526,7028629
,0.60457027,36526,5917546.5
,1,36527,4962022.5
,1.428473353,36527,4294851
,2.499656677,36528,3490764.5
,4.284962177,36530,2787672.25
,7.260470867,36533,2210212.75
,10,36536,1865407.75
,14.95918179,36540,1555749.875
,20,36546,1338316.5
,28.26530266,36554,1141942.375
,31,36557,1060057.125
,41,36567,945658.9375
,51,36577,847128.75
,60,36586,777282.3125
,74,36600,707463.25
,87.77550507,36613,649785.6875
,91,36617,628225.875
,105,36631,593586.9375
,121,36647,556028.6875
,143.9591675,36669,515172.7188
,152,36678,495171.5625
,182,36708,462442.5
,213,36739,429875.5938
,244,36770,402870.2188
,274,36800,381158.1563
,305,36831,362671.5625
,335,36861,347079.2188
,366,36892,333321.5313
,404.2652893,36930,319346.5313
,468.0407715,36994,301383.8438
,574.3331909,37100,278249.0625
,731,37257,252634.0313
,908.1541138,37434,230134.0781
,1096,37622,212105.5469
,1391.256836,37917,193750.6094
,1461,37987,185991.0625
,1827,38353,173365.9688
,2192,38718,160966.875
,2557,39083,151120.9375
,2922,39448,143305.6563
,3288,39814,136878.2969
,3653,40179,131478.2813
,4018,40544,126858.1328
,4383,40909,122845.5234
,4749,41275,119312.0625
,5114,41640,116178.1797
,5479,42005,113373.0078
,5844,42370,110841.6406
,6210,42736,108537.8594
,6575,43101,106435.2813
,6940,43466,104505.2422
,7305,43831,102724.2891
,7671,44197,101070.7734
,8036,44562,99534.375
,8401,44927,98100.92188
,8766,45292,96758.48438
,9132,45658,95495.07813
,9497,46023,94306.44531
,9862,46388,93184.59375
,10227,46753,92122.6875
,10593,47119,91113.29688
,10958,47484,90154.79688
,10958,47484,89791.98438
