FILE:,CMG_Desorption10000mdft_LGR2.irf,,
Well:,Well-1,,
,,,
,,,Y1
,TIME,DATE,Gas Rate SC
,(day),,(ft3/day)
,1.00E-06,36526,3786648064
,1.97E-06,36526,3508094208
,4.40E-06,36526,3123109376
,9.16E-06,36526,2706274560
,1.77E-05,36526,2283659776
,3.22E-05,36526,1859525888
,5.35E-05,36526,1463660800
,8.10E-05,36526,1125728384
,0.000119204,36526,827651520
,0.000175424,36526,570674304
,0.000264111,36526,362813792
,0.000418342,36526,211377472
,0.000675392,36526,124086472
,0.00110381,36526,83207896
,0.002174855,36526,66159488
,0.004852465,36526,60034764
,0.011546493,36526,53620240
,0.023083929,36526,45906268
,0.039535254,36526,38343692
,0.064417146,36526,31043404
,0.104600966,36526,24201598
,0.171574011,36526,18266020
,0.283195734,36526,13613538
,0.467833817,36526,10222505
,0.775563896,36526,7765048.5
,1,36527,6477023.5
,1.525110006,36527,5335846
,2.40029335,36528,4232861.5
,3.858932018,36529,3327382.25
,6.289996624,36532,2600086.5
,10,36536,2047321
,14.05177402,36540,1687600.875
,20,36546,1414878.75
,26.75295639,36552,1210446.75
,31,36557,1097300.25
,41,36567,975326.5
,51,36577,868367.8125
,60,36586,794119.6875
,74,36600,722486.4375
,91,36617,654268.75
,105,36631,604940.6875
,121,36647,564980.6875
,137.8823853,36663,530278.4375
,152,36678,503880.4375
,182,36708,469006.9063
,213,36739,435075.0625
,244,36770,407321.4688
,274,36800,385111.4063
,305,36831,366269.3125
,335,36861,350356.5313
,366,36892,336360.75
,408.2059937,36934,321267.5
,478.5492859,37004,301716.2813
,654.4075317,37180,269742.3125
,731,37257,250752.2031
,1024.097046,37550,224219.2813
,1096,37622,211188.2813
,1461,37987,192668.3281
,1827,38353,175098.8906
,2192,38718,161989.9219
,2557,39083,152044.2656
,2922,39448,144117.125
,3288,39814,137591.7813
,3653,40179,132115.2031
,4018,40544,127434.6875
,4383,40909,123373.2656
,4749,41275,119799.6875
,5114,41640,116632.1953
,5479,42005,113798.7188
,5844,42370,111243.0859
,6210,42736,108918.3047
,6575,43101,106797.2734
,6940,43466,104851.0234
,7305,43831,103055.6484
,7671,44197,101389.2031
,8036,44562,99841.08594
,8401,44927,98397.04688
,8766,45292,97044.92969
,9132,45658,95772.64844
,9497,46023,94575.78125
,9862,46388,93446.34375
,10227,46753,92377.38281
,10593,47119,91361.39063
,10958,47484,90396.66406
