Time(day),Pros(m3/day)
0.37262391,17393.61103
0.714732691,15203.75206
1.263739204,13290.58042
2.189432153,10865.61328
4.032040278,8590.035871
7.129165127,7141.179751
13.12901197,5459.655546
22.7460546,4389.376283
41.0449441,3412.548676
74.06503965,2609.048605
123.1991566,2169.108448
204.9284286,1686.512066
347.8856094,1333.405771
567.0105769,1036.760765
905.5367439,779.5740212
1360.509747,576.4843793
2086.109095,433.4933314
3134.24251,304.8557739
5005.500554,225.4241819
7675.079328,175.2834182
10415.48644,145.753936
