Time(day),Pros(m3/day)
0.31663031,10526.21473
0.50567025,9515.92542
0.807573985,8459.741778
1.118455693,7274.011493
1.613373081,6467.25881
2.576616145,5560.07774
3.871197279,4622.960052
5.699032124,3843.859044
8.22085763,3250.091066
11.38553889,2748.145221
17.45777735,2172.965031
26.22916894,1837.235131
39.40761127,1502.212221
64.22953925,1187.736878
96.50068291,987.5509653
151.0099365,807.4395068
241.1684221,649.2017901
377.3945117,530.7991098
567.0105769,434.0070011
817.9131344,373.162109
1109.951155,310.2965854
1506.262113,253.7369568
2044.076934,204.0411346
2830.959795,158.6712496
4253.331983,117.3352297
5771.995274,92.78754916
8326.107023,73.37141098
10205.62906,65.24352518
