FILE:,CMG_Desorption10000mdft_LGR1.irf,,
Well:,Well-1,,
,,,
,,,Y1
,TIME,DATE,Gas Rate SC
,(day),,(ft3/day)
,1.00E-06,36526,3833338624
,2.03E-06,36526,3514425344
,4.57E-06,36526,3111761664
,9.45E-06,36526,2692510976
,1.83E-05,36526,2269865728
,3.32E-05,36526,1849082880
,5.53E-05,36526,1458238592
,8.40E-05,36526,1126385920
,0.000124415,36526,835586176
,0.000185026,36526,587199168
,0.00028367,36526,389254432
,0.000465288,36526,249013296
,0.00087976,36526,166531456
,0.001915941,36526,128794056
,0.003951107,36526,107085072
,0.006780169,36526,89332120
,0.010985401,36526,72494296
,0.017663561,36526,56789308
,0.029231142,36526,42881220
,0.051766854,36526,31301868
,0.084825806,36526,23577456
,0.13911286,36526,18209070
,0.236290738,36526,13935688
,0.393806517,36526,10666744
,0.647862256,36526,8200668
,1,36527,6425334.5
,1.42342627,36527,5210239
,2.35323143,36528,4062410.5
,4.018165588,36530,3106051.5
,7.497170925,36533,2366794
,10,36536,1997958.875
,15.25827503,36541,1695246
,20,36546,1471671
,31,36557,1227965.25
,41,36567,1049546.375
,51,36577,933442.625
,60,36586,853632.8125
,70.79799652,36596,786234.3125
,74,36600,754903.375
,91,36617,698493.0625
,105,36631,645590.75
,121,36647,601776.3125
,147.9949951,36673,551179.875
,152,36678,531012.3125
,182,36708,497370.8125
,213,36739,460587.0938
,244,36770,430432.7813
,274,36800,406372.1563
,305,36831,385966.1875
,335,36861,368743.5625
,366,36892,353618
,433.4874878,36959,331219.4688
,602.2061768,37128,293241
,731,37257,264622.625
,1096,37622,229295.1094
,1461,37987,200579.25
,1827,38353,181318.5469
,2192,38718,167545.4531
,2557,39083,157004.9219
,2922,39448,148611.7969
,3288,39814,141719.8438
,3653,40179,135946.7344
,4018,40544,131021.4531
,4383,40909,126753.7969
,4749,41275,123003.5156
,5114,41640,119682.8828
,5479,42005,116715.3984
,5844,42370,114041.1016
,6210,42736,111610.1875
,6575,43101,109393.6953
,6940,43466,107361.1484
,7305,43831,105487.1328
,7671,44197,103748.5469
,8036,44562,102134.0234
,8401,44927,100628.7109
,8766,45292,99219.70313
,9132,45658,97894.33594
,9497,46023,96647.10938
,9862,46388,95470.61719
,10227,46753,94357.70313
,10593,47119,93300.34375
,10958,47484,92296.54688
