FILE:,CMG_Desorption50mdft.irf,,
Well:,Well-1,,
,,,
,,,Y1
,TIME,DATE,Gas Rate SC
,(day),,(ft3/day)
,1.00E-06,36526,21350072
,3.48E-06,36526,21272008
,1.09E-05,36526,21090092
,3.32E-05,36526,20636816
,0.000100121,36526,19711878
,0.000267388,36526,18351918
,0.000685555,36526,16644520
,0.001599968,36526,14982756
,0.003685205,36526,13583182
,0.008898295,36526,12527057
,0.021931021,36526,11614551
,0.053389236,36526,10485805
,0.10542085,36526,9339969
,0.192140192,36526,8191400
,0.336672455,36526,7073047.5
,0.577559531,36526,6012170.5
,0.979037941,36526,5031391
,1,36527,4885470.5
,1.669130683,36527,4119796.5
,2.784348488,36528,3361413.75
,4.643044949,36530,2707752.5
,7.740872383,36533,2160206.75
,10,36536,1866955.25
,15.16304493,36541,1558734.125
,20,36546,1345309.25
,28.60507584,36554,1143766.25
,31,36557,1065231.375
,41,36567,950401.5
,51,36577,850448.0625
,60,36586,779798.6875
,74,36600,709231
,88.34178925,36614,649542.6875
,91,36617,629085.1875
,105,36631,594430.1875
,121,36647,556462
,144.9029846,36670,514230.7188
,152,36678,494955.3438
,182,36708,462339.5313
,213,36739,429561.0625
,244,36770,402435.125
,274,36800,380642.4688
,305,36831,362095.625
,335,36861,346456.0938
,366,36892,332665.9375
,405.8383179,36931,318285.6875
,472.2354736,36998,299750.875
,582.8974609,37108,276049.5
,731,37257,251459.6563
,915.4365845,37441,228877.5313
,1096,37622,211240.9375
,1403.394287,37929,192646.9219
,1461,37987,185287.4375
,1827,38353,172802.9531
,2192,38718,160411.3594
,2557,39083,150581.5781
,2922,39448,142781.2344
,3288,39814,136366.4844
,3653,40179,130978.1953
,4018,40544,126369.125
,4383,40909,122366.9063
,4749,41275,118843.2422
,5114,41640,115718.5391
,5479,42005,112922.0156
,5844,42370,110398.8047
,6210,42736,108102.7578
,6575,43101,106007.4766
,6940,43466,104084.3516
,7305,43831,102309.9766
,7671,44197,100662.7266
,8036,44562,99132.28125
,8401,44927,97704.50781
,8766,45292,96367.49219
,9132,45658,95109.28125
,9497,46023,93925.625
,9862,46388,92808.54688
,10227,46753,91751.21875
,10593,47119,90746.25
,10958,47484,89791.98438
