FILE:,CMG_base10000mdft.irf,,
Well:,Well-1,,
,,,
,,,Y1
,TIME,DATE,Gas Rate SC
,(day),,(ft3/day)
,1.00E-06,36526,3833259008
,2.03E-06,36526,3514177024
,4.57E-06,36526,3111061248
,9.44E-06,36526,2690912000
,1.82E-05,36526,2266635776
,3.30E-05,36526,1843188480
,5.48E-05,36526,1448800768
,8.29E-05,36526,1112882688
,0.000121827,36526,817005632
,0.000179091,36526,562119744
,0.000269131,36526,355844864
,0.000424688,36526,205167776
,0.000737246,36526,111193464
,0.001518641,36526,66898976
,0.003472127,36526,54209940
,0.008355844,36526,49377212
,0.020443317,36526,42462948
,0.03644437,36526,35693680
,0.05897525,36526,29054684
,0.092377461,36526,22716072
,0.145924479,36526,16987386
,0.242351398,36526,12301569
,0.4546296,36526,8857766
,0.792634904,36526,6808347.5
,1,36527,5916329
,1.497388363,36527,5010373.5
,2.472150087,36528,3931627
,4.248347282,36530,3007021
,7.68969059,36533,2288425
,10,36536,1938672.875
,15.1297617,36541,1641951
,20,36546,1412523
,31,36557,1169815.5
,41,36567,994205.6875
,51,36577,882082.25
,60,36586,805075.625
,70.57969666,36596,741449.8125
,74,36600,710797.75
,91,36617,657398.3125
,105,36631,606777.4375
,121,36647,565582.4375
,147.4492493,36673,518599.6875
,152,36678,498587.5625
,182,36708,467409.1563
,213,36739,432710.375
,244,36770,404480.1875
,274,36800,381966.8438
,305,36831,362891.125
,335,36861,346783.2813
,366,36892,332658.9688
,432.1231079,36958,312106.1875
,597.4308472,37123,277146.9063
,731,37257,249827.5
,1096,37622,216806.5781
,1461,37987,189938.9375
,1827,38353,172025.5156
,2192,38718,159191.1563
,2557,39083,149361.3438
,2922,39448,141534.2656
,3288,39814,135106.5781
,3653,40179,129721.7734
,4018,40544,125127.5859
,4383,40909,121146.2969
,4749,41275,117643.375
,5114,41640,114541.6406
,5479,42005,111771.2344
,5844,42370,109274.8906
,6210,42736,107005.3047
,6575,43101,104935.0156
,6940,43466,103035.7109
,7305,43831,101283.5078
,7671,44197,99656.89063
,8036,44562,98145.17188
,8401,44927,96734.79688
,8766,45292,95413.34375
,9132,45658,94169.17188
,9497,46023,92997.78906
,9862,46388,91891.61719
,10227,46753,90843.69531
,10593,47119,89846.73438
,10958,47484,88898.9375
