Time(day),PROS(m3/day)
13.61611867,211212.8774
9.277120483,204906.7241
17.68718558,198604.7572
17.51600727,186520.6379
21.63172939,177064.8966
21.55730403,171810.9317
21.47543614,166031.5703
21.39356825,160252.2089
25.59115827,156575.829
25.50184784,150271.0711
29.64734011,142916.9157
38.05740521,136614.9488
40.13759387,133463.2676
37.93832464,128208.605
39.9961857,123480.7343
27.18013959,118747.9795
50.55342229,118755.6546
39.81012231,110345.8221
71.6976656,111407.0811
69.46862622,104050.8325
60.88738281,98268.68018
90.64263968,98803.845
79.89933971,90394.01248
101.1180084,88299.4039
120.2416033,88305.68354
92.52932243,81991.85508
122.2324816,78849.24447
15.3427869,33104.863
134.8922344,72548.67302
145.4122583,65196.61086
164.6251637,71507.64837
173.0352288,65205.68145
190.0860776,68889.03877
219.752024,63119.44572
206.9285354,57861.2944
206.5043109,27913.6945
189.2525136,10044.63195
227.7229795,25819.08592
223.8826312,54714.49736
249.4328555,58400.64564
257.8503632,52624.07521
266.2604283,46322.10828
270.4282481,40544.14238
298.1033163,44230.98839
317.1599285,39508.69963
323.4525922,33731.43146
342.5613021,32686.91812
319.1061515,26899.88162
308.5489149,31624.96133
342.4868767,27432.95322
331.803117,23226.29262
293.4070765,12705.80355
323.1548908,12715.57188
340.600194,44244.94315
372.5026223,46356.99517
395.7717095,39009.11943
404.3752805,46367.46123
434.152865,48478.81552
421.2921637,40593.68175
455.3119934,42181.03502
455.2450106,37452.46662
478.6108508,36934.74524
489.3094955,42192.19883
516.932466,42201.26942
527.5194727,39577.77566
512.54137,32217.34064
538.0097265,30124.12754
523.0688365,25390.67497
572.0295562,31711.48081
582.7133159,35918.14141
569.8302869,26456.81818
565.4987313,20676.06132
595.1497927,13855.67528
595.224218,19109.64018
605.9079777,23316.30078
601.7773705,31721.24914
614.5264338,31725.43556
635.7451025,29630.82698
657.0009838,30163.20085
669.7277195,28591.19781
661.1539186,23334.44196
701.6450329,31754.04281
701.5110673,22296.906
707.803731,16519.63783
729.178693,25458.35553
737.7450513,30189.71488
756.8388761,28094.40856
750.3378213,19160.57503
767.3663425,21267.74289
784.3799786,22324.11777
780.2121588,28102.08368
801.4308274,26007.4751
816.3345048,28113.94522
820.5172097,23386.77229
837.575501,27595.52611
860.9190136,25501.61526
875.7333805,21303.32751
892.8065569,26562.87431
911.9003817,24467.56799
916.0979717,20791.18804
954.4121444,25532.31572
954.3302765,19752.95434
971.3811253,23436.31167
992.6518917,25019.47851
992.5700238,19240.11713
1018.097921,21350.07594
1045.720891,21359.14653
1064.814716,19263.84021
1088.247539,23474.68724
1113.745665,23483.06009
1107.281823,17176.20901
1132.77995,17184.58186
1158.292961,18243.74769
1158.352502,22446.9196
1183.805973,19302.91352
1209.296657,18785.88988
1211.354518,14058.01922
1234.772456,17218.07327
1262.432639,19854.1263
1260.196157,11972.48123
1287.804243,10930.75884
1313.332139,13040.71765
1285.776152,17760.21546
1311.296606,19344.77778
1345.264338,17254.35563
1372.857538,15161.84026
1372.954291,21991.99462
1406.88481,17274.59002
1434.500338,16758.26412
1464.248153,16768.03245
1498.245655,16779.19625
1523.728896,15736.77613
1566.225774,15750.73088
1600.223276,15761.89468
