Time(day),Pro(m3/day)
1.00E-06,3.80E+09
3.50E-06,3.28E+09
1.10E-05,2.64E+09
3.35E-05,1.88E+09
0.000101,1.04E+09
0.00025,4.60E+08
0.000542,1.83E+08
0.001109,7.83E+07
0.002209,4.71E+07
0.004339,3.98E+07
0.008339,3.78E+07
0.017679,3.54E+07
0.040079,3.11E+07
0.071679,2.67E+07
0.11998,2.20E+07
0.19988,1.73E+07
0.34288,1.30E+07
0.61288,9.32E+06
0.99988,7.00E+06
1.4539,5.62E+06
2.4179,4.28E+06
4.0879,3.26E+06
7.3379,2.42E+06
9.9979,2.03E+06
15.118,1.64E+06
19.998,1.41E+06
30.998,1.14E+06
40.998,9.86E+05
50.998,8.80E+05
59.998,8.08E+05
70.598,7.43E+05
74.018,7.24E+05
91.018,6.55E+05
105.02,6.10E+05
121.02,5.69E+05
147.42,5.19E+05
151.97,5.11E+05
181.97,4.70E+05
212.97,4.36E+05
243.97,4.10E+05
273.97,3.88E+05
304.97,3.69E+05
334.97,3.53E+05
365.97,3.39E+05
432.07,3.15E+05
597.07,2.76E+05
731.07,2.53E+05
1096.1,2.16E+05
1461.1,1.92E+05
1827.1,1.75E+05
2192.1,1.63E+05
2557.1,1.53E+05
2922.1,1.45E+05
3288.1,1.38E+05
3653.1,1.33E+05
4018.1,1.28E+05
4383.1,1.24E+05
4749.1,1.21E+05
5114.1,1.17E+05
5479.1,1.15E+05
5844.1,1.12E+05
6210.1,1.10E+05
6575.1,1.07E+05
6940.1,1.05E+05
7305.1,1.04E+05
7671.1,1.02E+05
8036.1,1.00E+05
8401.1,98991
8766.1,97629
9132.1,96347
9497.1,95143
9862.1,94006
10227,92930
10593,91906
10958,90936
